COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DEN HELDER,52.97,4.77,10/15/1942,NAVAL DOCK YARDS,NAVAL INSTALLATIONS
USA,TUNISIA,GUMTREE,34.38,9.27,4/7/1943,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES
USA,ITALY,ALA,45.75,11.03,2/18/1945,R R BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,8/8/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,OSNABRUCK,52.28,8.05,11/27/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,BREMERHAVEN,53.55,8.58,3/13/1941,DOCKS BARGES SHIPPING,NAVAL INSTALLATIONS
USA,ITALY,REGGIO DI CALABRIA,38.1,15.65,5/1/1943,HARBOR INSTALLATIONS,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,DORTMUND,51.52,7.45,8/15/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,HANAU,50.13,8.93,10/4/1943,RUBBER PLANT,RUBBER AND TIRE MANUFACTURING FACILITIES
GREAT BRITAIN,GERMANY,HANNOVER,52.38,9.73,11/18/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,CAPUA,41.1,14.2,9/16/1943,BRIDGE,BRIDGES
USA,GERMANY,HOLLRIEGELSKREUTH,48.13,11.58,7/19/1944,CHEMICAL WORKS,CHEMICAL PLANTS
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,9/10/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,DUMMER LAKE,52.5,8.33,8/13/1940,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,ITALY,ORTE,42.47,12.4,11/28/1944,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,CHAM,49.22,12.67,4/17/1945,M Y,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ENSCHEDE,52.3,6.88,6/25/1942,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,HOLLAND OR NETHERLANDS,EELDE,52.17,6.23,8/17/1942,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,WILHELMSHAVEN,53.53,8.13,11/30/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,47 20 N 015 00 E,47.33,15,12/16/1944,IND BUILDINGS,MANUFACTURING INSTALLATIONS (NOT SPECIFICALLY IDENTIFIED BELOW FROM CLASS 11 THROUGH 59)
USA,FRANCE,LEGRISMONT,,,3/26/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,3/3/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,FRANCE,MAZINGARBE,50.5,2.33,9/2/1943,POWER STATION,"""PUBLIC UTILITIES - ELECTRIC LIGHT AND POWER COMPANIES",  GAS COMPANIES, TELEPHONE COMPANIES,"  WATER COMPANIES.  """
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,8/6/1940,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,MANNHEIM,49.48,8.47,7/21/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,MASSA MANTANA,40.83,16.23,6/4/1944,HIGHWAY BRIDGE,BRIDGES
USA,ITALY,CAPUA,41.1,14.2,7/27/1943,AIRDROMES,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,3/24/1945,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,WIESBADEN,50.07,8.23,3/2/1945,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,KASSEL,51.32,9.47,9/22/1944,BRIDGE,BRIDGES
USA,FRANCE,CAEN,49.18,-0.37,7/5/1944,BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,10/1/1940,A C FACTORIES,AIRCRAFT FACTORIES AND ASSEMBLY PLANTS
USA,ITALY,CIVITAVECCHIA,42.1,11.78,11/2/1943,HARBOR,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,DORTMUND,51.52,7.45,2/19/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,CZECHOSLOVAKIA,PILSEN,49.75,13.37,5/13/1943,SKODA ARMS WORKS,ARMAMENT AND ORDNANCE PLANTS
GREAT BRITAIN,GERMANY,BOCHUM,51.52,7.2,11/12/1940,ANTI AIRCRAFT BATTERY,GUN EMPLACEMENTS
GREAT BRITAIN,GERMANY,SCHWERIN,53.63,11.42,1/20/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,FRANCE,LORIENT,47.75,-3.35,1/15/1943,HARBOR INSTALLATIONS,PORTS AND HARBORS
USA,ITALY,LATISANA,45.77,13.02,5/19/1944,RR BRIDGE,BRIDGES
USA,ITALY,RIETI,42.38,12.88,6/6/1944,BRIDGE ROAD,BRIDGES
GREAT BRITAIN,FRANCE,ST OMER,50.75,2.25,8/21/1941,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,PLAUEN,50.48,12.13,4/10/1945,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,YUGOSLAVIA,OBER DRAUBURG,46.6,15.03,10/11/1944,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,FRANCE,LORIENT,47.75,-3.35,11/10/1940,HARBOR INSTALLATIONS,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,12/4/1940,INLAND PORT,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,SWINEMUNDE,53.9,14.27,1/16/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,CHIVASSO,45.18,7.88,7/24/1944,RR BRIDGE,BRIDGES
USA,ITALY,GERBINI,37.47,14.85,7/7/1943,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,ESSEN,51.43,7,8/12/1941,BLAST FURNACES,"""IRON AND STEEL PRODUCTION FACILITIES",  BLAST FURNACES,  BOILER SHOPS,  FORGES,  FOUNDRIES, STEEL WORKS,"  ROLLING-MILLS """
GREAT BRITAIN,GERMANY,GELSENKIRCHEN,51.5,7.08,8/31/1941,AIRDROME,AIR FIELDS AND AIRDROMES
USA,ITALY,CAMPOSANTO,44.8,11.12,4/4/1945,RR BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,HELIGOLAND,54.18,7.92,11/5/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,FELDKIRCHEN,46.73,14.05,3/9/1945,RR,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,ITALY,MILAN,45.45,9.15,10/20/1940,RUBBER PLASTIC FACTORY,RUBBER AND TIRE MANUFACTURING FACILITIES
USA,ITALY,44 20 N 010 20 E,44.33,10.33,4/18/1945,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES
USA,ITALY,COLLE SANNILA,41.35,14.83,4/1/1945,RR BRIDGE EAST,BRIDGES
GREAT BRITAIN,GERMANY,GELSENKIRCHEN,51.5,7.08,11/13/1940,ANTI AIRCRAFT BATTERY,GUN EMPLACEMENTS
USA,YUGOSLAVIA,SPLIT,43.52,16.43,6/14/1944,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,MUNSTER,50.13,8.46,7/29/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,HOLLAND OR NETHERLANDS,SOESTERBERG,52.12,5.3,9/23/1940,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,NORDHORN,52.45,7.08,8/3/1940,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,QUAKENBRUCK,52.7,7.95,8/12/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,ST POLTEN,48.22,15.63,3/2/1945,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,FRANCE,VANNES,47.72,2.22,8/19/1940,AIRDROME,AIR FIELDS AND AIRDROMES
USA,ROMANIA,PLOESTI,44.93,26.05,7/31/1944,OIL REFINERY,OIL REFINERIES
GREAT BRITAIN,GERMANY,NODERN,53.62,7.22,1/20/1942,TOWN AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,FRANCE,BEAUVAIS,49.43,-2.08,9/1/1940,TILLIE A D,AIR FIELDS AND AIRDROMES
USA,FRANCE,44 40 N 006 20 E,44.67,6.33,4/21/1945,RAILROAD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,FRANCE,NANTES,47.22,-1.53,9/23/1943,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,ITALY,MARINO,41.77,12.65,5/23/1944,TROOP CONCENTRATIONS,TROOP CONCENTRATIONS
USA,ITALY,44 40 N 013 20 E,44.67,13.33,8/3/1944,BRIDGE,BRIDGES
USA,AUSTRIA,47 00 N 016 20 E,47,16.33,10/13/1944,AD,AIR FIELDS AND AIRDROMES
USA,ITALY,SAN GIOVANNI,38.22,15.22,7/16/1943,DOCKS,PORTS AND HARBORS
USA,ITALY,PADOVA,45.38,11.9,11/10/1944,RR BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,KIEL,54.33,10.15,6/26/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,WESEL,51.65,6.62,12/4/1940,ANTI AIRCRAFT BTRY,GUN EMPLACEMENTS
USA,ITALY,PALERMO,38.1,13.33,5/9/1943,HARBOR,PORTS AND HARBORS
GREAT BRITAIN,FRANCE,DUNKERQUE,51.03,2.37,8/29/1941,HARBOR,PORTS AND HARBORS
GREAT BRITAIN,FRANCE,DIEPPE,49.93,1.08,6/2/1944,GRAND WATER TOWER,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW)
USA,GERMANY,HILDESHEIM,52.15,9.97,4/26/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,12/10/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,FRANCE,GUINES,50.87,1.87,1/10/1941,AERODROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,12/9/1940,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,3/13/1941,SUB PENS,SUBMARINE PENS AND YARDS
USA,ITALY,ALA,45.75,11.03,2/18/1945,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,3/2/1945,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,LANDSBERG,46.82,15.23,2/21/1945,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,WIESBADEN,50.07,8.23,1/10/1945,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,FRIEDRICHSHAFEN,47.65,9.5,8/3/1944,ZAHNRAD FABRIK,MACHINERY & EQUIPMENT MFG. PLANTS
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,2/24/1945,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,FRANCE,FORET DU CROC,49.8,1.2,7/25/1944,TOWN AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,WARNEMUNDE,54.18,12.1,11/7/1941,DOCK AREA,PORTS AND HARBORS
USA,HUNGARY,BANHIDA,47.6,18.37,10/13/1944,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,FRANCE,BEAUVAIS,49.43,-2.08,6/14/1944,TILLIE A D,AIR FIELDS AND AIRDROMES
USA,GERMANY,UNKNOWN,45.95,7.97,7/7/1944,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,6/16/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ROMANIA,BUCHAREST,44.42,26.1,7/3/1944,PRAHOVA OR,OIL REFINERIES
USA,GERMANY,NEUBRANDENBURG,53.55,13.28,8/25/1944,AIRDROME,AIR FIELDS AND AIRDROMES
USA,FRANCE,LESSAY,49.22,-1.45,6/15/1944,BRIDGES,BRIDGES
GREAT BRITAIN,GERMANY,DORTMUND,51.52,7.45,8/12/1940,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,BREMEN,53.08,8.72,6/11/1943,BOILER PLANTS,"""IRON AND STEEL PRODUCTION FACILITIES",  BLAST FURNACES,  BOILER SHOPS,  FORGES,  FOUNDRIES, STEEL WORKS,"  ROLLING-MILLS """
USA,ITALY,FORLI,44.22,12.05,6/5/1944,R R,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,ITALY,ALA,45.75,11.03,3/3/1945,R R BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,MANNHEIM,49.48,8.47,5/12/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,STERKRADE,51.52,6.82,2/17/1945,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,11/9/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,FRANCE,VITRY EN ARTOIS,50.33,2.98,10/26/1940,AIRDROME,AIR FIELDS AND AIRDROMES
USA,YUGOSLAVIA,BROD,45.15,18.02,1/20/1945,R R,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,FRANCE,COCOVE,50.83,2.07,4/20/1944,V WEAPON SITE,V - WEAPON LAUNCHING SITES
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,8/6/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,SALZBURG,47.78,13.03,11/17/1944,MARSHALLING YARUS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,9/25/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,HAGE,53.62,7.27,6/1/1942,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,REMSCHEID,51.15,7.18,8/11/1940,BLAST FURNACE,"""IRON AND STEEL PRODUCTION FACILITIES",  BLAST FURNACES,  BOILER SHOPS,  FORGES,  FOUNDRIES, STEEL WORKS,"  ROLLING-MILLS """
GREAT BRITAIN,GERMANY,EISENACH,50.97,10.33,12/27/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,MANNHEIM,49.48,8.47,4/17/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,HOLLAND OR NETHERLANDS,HAAMSTEDE,51.7,3.73,2/25/1944,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,FRANCE,CALAIS,50.97,1.87,3/2/1941,DOCKS BARGES SHIPPING,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,1/8/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GREECE,ELEUSIS,38.03,23.55,12/6/1943,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,2/23/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,BRANDENBURG,52.4,12.52,1/17/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,STEYR,48.05,14.45,10/16/1944,AIRCRAFT FACTORY,AIRCRAFT FACTORIES AND ASSEMBLY PLANTS
GREAT BRITAIN,NORWAY,KRISTIANSAND,63.12,7.75,2/21/1942,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,AMRUM,54.67,8.33,9/20/1941,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,AACHEN,50.78,6.08,4/4/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,AUSTRIA,VIENNA,48.2,16.37,2/13/1945,GOODS DEPOT,SUPPLY DUMPS AND WAREHOUSES
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,4/12/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,ALZEY,49.75,8.12,1/8/1945,R R BRIDGE,BRIDGES
USA,ITALY,ALBESE,45.8,9.18,2/28/1945,BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,9/8/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,9/13/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,45 20 N 010 20 E,45.33,10.33,4/22/1945,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW)
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,10/17/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,HUNGARY,SZONY,47.73,18.17,3/14/1945,OIL REFINERY,OIL REFINERIES
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,1/17/1941,MFG INSTALL,MANUFACTURING INSTALLATIONS (NOT SPECIFICALLY IDENTIFIED BELOW FROM CLASS 11 THROUGH 59)
USA,HUNGARY,HEGYESHALOM,47.92,17.17,12/6/1944,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,HUNGARY,BUDAPEST,47.5,19.03,7/14/1944,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,ITALY,MESSINA,38.18,15.57,7/14/1943,STORAGE,OIL STORAGE FACILITIES AND OTHER OIL INSTALLATIONS
GREAT BRITAIN,GERMANY,KIEL,54.33,10.15,9/7/1941,DOCK AREA,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,ESSEN,51.43,7,10/23/1942,BUILDINGS,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,BELGIUM,OSTENDE,51.22,2.95,12/23/1941,DOCKS,PORTS AND HARBORS
GREAT BRITAIN,FRANCE,ARGENTAN,48.73,-0.02,6/6/1944,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,GERMANY,LECHFELD,48.17,10.87,2/16/1945,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,KARLSRUHE,49.02,8.38,1/8/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,PADOVA,45.38,11.9,11/9/1944,RR BRIDGE,BRIDGES
USA,ITALY,45 40 N 009 20 E,45.67,9.33,3/10/1945,BRIDGE,BRIDGES
GREAT BRITAIN,HOLLAND OR NETHERLANDS,EINDHOVEN,51.43,5.47,5/23/1941,AIRDROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,GERMANY,RHEINE,52.3,7.43,9/7/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,BELGIUM,OSTENDE,51.22,2.95,9/14/1940,DOCKS,PORTS AND HARBORS
GREAT BRITAIN,BELGIUM,ZEEBRUGGE,51.32,3.2,9/16/1940,DOCKS CANALS BARGES,PORTS AND HARBORS
USA,HOLLAND OR NETHERLANDS,HAGUE,52.08,4.3,10/29/1940,AIRFIELD,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,BELGIUM,BRUGES,51.03,3.23,2/2/1943,ENGINE SHEDS,R.R. MANUFACTURING WORKS AND ROUNDHOUSES
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,11/15/1940,PORT AREA,PORTS AND HARBORS
USA,ITALY,SAN AMBROGIO,44.35,9.25,4/11/1945,ROAD BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,RHEINE,52.3,6.43,11/22/1940,CANAL,WATERWAYS AND BOATS
USA,GERMANY,FRESSIN,47.68,10.71,8/3/1944,V WEAPONS,V - WEAPON LAUNCHING SITES
USA,GERMANY,COBLENZ,50.35,7.6,9/21/1944,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,ITALY,GRICIGLIANA,44.13,11.17,6/25/1944,BRIDGE,BRIDGES
GREAT BRITAIN,HOLLAND OR NETHERLANDS,FLUSHING,51.4,3.53,4/2/1941,EARTHWORKS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW)
GREAT BRITAIN,BELGIUM,ANTWERP,51.22,4.42,2/9/1941,DOCKS BARGES SHIPPING,PORTS AND HARBORS
USA,ITALY,44 40 N 008 40 E,44.67,8.67,4/25/1945,LIGHT ON ROAD,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW)
