COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,10/11/1944,CITY AREA,2
GREAT BRITAIN,FRANCE,BREST,48.4,-4.5,2/21/1941,AIRDROME,78
USA,ITALY,CASSANO D ADDA,45.52,9.53,11/4/1944,GUN P0SITION,82
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,6/29/1941,DESCHIMAG U BOAT,72
USA,ITALY,44 40 N 008 20 E,44.67,8.33,4/22/1945,LIGHTS,80
GREAT BRITAIN,GERMANY,ESSEN,51.43,7,11/22/1940,BLAST FURNACES,39
USA,ITALY,ORVIETO,42.72,12.12,4/2/1944,BRIDGE,61
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,3/17/1944,CITY AREA,2
USA,ITALY,45 20 N 011 40 E,45.33,11.67,1/9/1945,RR BRIDGE,61
GREAT BRITAIN,GERMANY,BOPPARD,50.22,7.6,7/10/1941,TOWN,2
GREAT BRITAIN,FRANCE,CAEN,49.18,-0.37,8/17/1940,AIRDROME,78
GREAT BRITAIN,GERMANY,GELSENKIRCHEN,51.5,7.08,10/20/1940,AIRDROME,78
USA,ITALY,MONTICELLI,45.25,9.65,7/13/1944,ROAD BRIDGE,61
GREAT BRITAIN,GERMANY,GOTTINGEN,50.88,8.77,11/23/1944,MARSHALLING YARD,63
USA,ITALY,46 00 N 011 00 E,46,11,4/9/1945,BRIDGE,61
USA,ITALY,RIMINI,44.05,12.57,11/26/1943,RAILROAD,63
GREAT BRITAIN,GERMANY,AACHEN,50.78,6.08,2/8/1941,CITY AREA,2
GREAT BRITAIN,GERMANY,SCHLEISSHEIM,48.23,11.55,4/20/1945,AIRDROME,78
GREAT BRITAIN,ITALY,TURIN,45.07,7.68,11/23/1940,FLAT BLAST FURN STEEL,39
GREAT BRITAIN,FRANCE,REVIGNY SUR ORNAIN,48.83,4.98,7/14/1944,RWY JUNC,63
USA,ITALY,44 20 N 011 00 E,44.33,11,3/28/1945,OCCUPIED BLDGS,2
USA,GERMANY,PASSAU,48.57,13.45,3/19/1945,MARSHALLING YARD,63
GREAT BRITAIN,HOLLAND OR NETHERLANDS,HAAMSTEDE,51.7,3.73,6/25/1942,AIRDROME,78
USA,ITALY,PASTENA,41.45,13.47,5/13/1944,ROAD BLOCK,65
GREAT BRITAIN,FRANCE,CALAIS,50.97,1.87,9/20/1940,DOCKS BARGES SHIPPING,71
GREAT BRITAIN,GERMANY,NURNBERG,49.45,11.08,2/25/1943,CITY AREA,2
GREAT BRITAIN,BELGIUM,OSTENDE,51.22,2.95,10/1/1941,DOCKS,71
GREAT BRITAIN,GERMANY,WESEL,51.65,6.62,10/1/1940,AIRDROME,78
GREAT BRITAIN,HOLLAND OR NETHERLANDS,OLDEBROEK,52.45,5.87,7/25/1940,AIRDROME,78
USA,ITALY,ORVIETO,42.72,12.12,4/23/1944,BRIDGE,61
USA,ITALY,SALERNO,40.67,14.73,7/22/1943,BRIDGE,61
USA,ITALY,BORGHETTO,44.82,10.1,9/2/1944,R R BRIDGE,61
GREAT BRITAIN,HOLLAND OR NETHERLANDS,VENLOO,51.37,6.15,3/15/1944,AIRDROME,78
USA,ITALY,PIAZZOLO,45.55,11.78,11/7/1944,R R BRIDGE,61
USA,PANTELLARIA,PANTELLERIA,36.75,12,6/10/1943,TROOP CONCENTRATIONS,81
GREAT BRITAIN,GERMANY,FRANKFURT A D ODER,52.37,14.55,2/15/1944,R R MARSHALLING YDS,63
GREAT BRITAIN,FRANCE,OCTEVILLE,49.55,7,7/1/1941,AIRDROME,78
GREAT BRITAIN,GERMANY,KIEL,54.33,10.15,10/15/1940,SUB YARDS,72
USA,ITALY,45 00 N 011 00 E,45,11,4/11/1945,ROAD JUNCTION,65
USA,ITALY,ARIANO IRPINO,41.15,15.07,9/11/1943,ROAD,65
GREAT BRITAIN,GERMANY,LINGEN,52.53,7.33,10/21/1942,CITY AREA,2
USA,AUSTRIA,GUSSIRG,47.05,16.33,11/1/1944,MARSHALLING YARDS,63
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,10/28/1940,INLAND PORT,71
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,10/25/1944,CITY AREA,2
USA,YUGOSLAVIA,SUBOTICA,46.1,19.67,8/29/1944,MARSHALLING YARDS,63
USA,GERMANY,48 20 N 010 20 E,48.33,10.33,2/22/1945,RAIL SIDING,63
GREAT BRITAIN,FRANCE,BOULOGNE,46.79,-1.32,5/27/1941,DOCKS,71
GREAT BRITAIN,GERMANY,RHEINE,52.3,7.43,11/19/1940,ANTI AIRCRAFT BATTERY,82
USA,GERMANY,BAD AIBLING,47.87,12.02,10/20/1944,AIR DROME,78
GREAT BRITAIN,GERMANY,LEVERKUSEN,51.02,7,12/29/1943,CITY AREA,2
USA,FRANCE,ST JOSE AU BOIS,,,12/24/1943,V WEAPON SITE,85
GREAT BRITAIN,GERMANY,KARLSRUHE,49.02,8.38,8/25/1941,AIRDROME,78
GREAT BRITAIN,GERMANY,DESSAU,51.83,12.23,11/18/1943,CITY AREA,2
USA,GERMANY,OBERHAUSEN,48.39,10.88,10/7/1944,MARSHALLING YARD,63
GREAT BRITAIN,FRANCE,LE HAVRE,49.5,6,4/15/1942,INNER DOCKS,71
USA,GERMANY,BORKEN,51.83,6.87,3/22/1945,CITY AREA,2
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,2/18/1945,SHIPYARDS,75
GREAT BRITAIN,HOLLAND OR NETHERLANDS,EELDE,52.17,6.23,5/15/1941,AIRDROME,78
GREAT BRITAIN,FRANCE,CALAIS,50.97,1.87,9/10/1940,DOCKS BARGES SHIPPING,71
USA,FRANCE,DINAN,48.45,-2.03,6/8/1944,BRIDGE,61
GREAT BRITAIN,FRANCE,COLMAR,48.08,7.35,9/7/1940,AIRDROME,78
GREAT BRITAIN,GERMANY,CHEMNITZ,50.87,12.95,11/19/1940,CITY AREA,2
GREAT BRITAIN,GERMANY,ROSTOCK,54.08,12.13,9/11/1941,MARIENEHE A C ASSEMBLY,11
USA,ITALY,EBOLI,40.6,15.07,9/15/1943,MOTOR TRANSPORT,65
USA,AUSTRIA,KLAGENFURT,46.63,14.3,12/9/1944,CITY AREA,2
USA,ITALY,SANTA ELIA,41.53,13.88,12/9/1943,GUN POS,82
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DEMOK DEN HOORN,53.37,6.43,10/15/1940,SEAPLANE BASE,78
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,3/21/1945,CITY AREA,2
USA,AUSTRIA,MATREI,47.13,11.45,4/2/1945,RR BRIDGE,61
GREAT BRITAIN,GERMANY,BRANDENBURG,52.4,12.52,10/29/1940,AIRDROME,78
GREAT BRITAIN,GERMANY,MAGDEBURG,52.13,11.63,9/3/1940,AIRDROME,78
USA,GERMANY,FRESSIN,47.68,10.71,6/24/1944,V WEAPONS,85
GREAT BRITAIN,GERMANY,HANNOVER,52.38,9.73,9/18/1944,CITY AREA,2
GREAT BRITAIN,GERMANY,FREFELD,51.33,6.37,10/2/1942,CITY AREA,2
GREAT BRITAIN,FRANCE,BREST,48.4,-4.5,1/25/1942,SHIPPING,73
GREAT BRITAIN,GERMANY,KARLSRUHE,49.02,8.38,2/2/1945,CITY AREA,2
GREAT BRITAIN,GERMANY,CUXHAVEN,53.88,8.7,11/16/1940,PORT AREA,71
GREAT BRITAIN,GERMANY,MAINZ,50,8.28,5/5/1941,CITY AREA,2
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,8/30/1943,CITY AREA,2
USA,ITALY,LEGHORN,43.53,10.33,6/13/1944,SHIPPING,73
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,12/20/1940,CITY AREA,2
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,6/25/1942,CITY AREA,2
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,1/8/1941,BARGES DOCKS SHIPPING,74
GREAT BRITAIN,GERMANY,GABLINGEN,48.45,10.87,4/16/1945,AIRDROME,78
USA,ITALY,FAENZA,44.28,11.87,6/5/1944,MARSHALLING YARDS,63
GREAT BRITAIN,GERMANY,GLADBACH,50.77,6.63,7/25/1942,CITY AREA,2
USA,ITALY,MODENA,44.67,10.92,3/2/1945,HIGHWAY,65
USA,FRANCE,LA FRILLIERE,47.39,0.82,6/15/1944,BRIDGE,61
GREAT BRITAIN,GERMANY,HILDESHEIM,52.15,9.97,8/14/1941,AIRFIELD,78
USA,ITALY,AREZZO,43.47,11.9,5/25/1944,R R BRID E,61
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,11/23/1941,CITY AREA,2
USA,ITALY,BISCARI,37.03,14.47,7/7/1943,AIR DROME,78
GREAT BRITAIN,FRANCE,BREST,48.4,-4.5,6/13/1941,NAVAL INSTALLATIONS,70
USA,FRANCE,43 00 N 005 40 E,43,5.67,8/12/1944,GUN POSITION,82
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DEMOK DEN HOORN,53.37,6.43,8/28/1941,SEAPLANE BASE,78
USA,GERMANY,GOPPINGEN,48.72,9.65,3/1/1945,MARSHALLING YARD,63
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,9/18/1943,CITY AREA,2
GREAT BRITAIN,GERMANY,LEIPZIG,51.33,12.38,10/20/1943,CITY AREA,2
GREAT BRITAIN,FRANCE,BEAUVOIR,46.18,-0.47,7/2/1944,CITY AREA,2
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ALKMAAR,52.63,4.77,7/25/1943,AIRDROME,78
USA,ROMANIA,OHOPENI,44.53,26.1,8/26/1944,AIRDROME,78
USA,GERMANY,MUNICH,48.13,11.58,12/30/1944,CITY AREA,2
GREAT BRITAIN,GERMANY,DORTMUND,51.52,7.45,2/3/1945,CITY AREA,2
GREAT BRITAIN,GERMANY,LEER,53.25,7.47,7/12/1941,CITY AREA,2
GREAT BRITAIN,GERMANY,OSNABRUCK,52.28,8.05,10/23/1940,UNIENTIFIED TARGET,1
GREAT BRITAIN,ITALY,TURIN,45.07,7.68,8/18/1940,UNIENTIFIED TARGET,1
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,12/10/1940,STORAGE TANK,80
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,3/22/1945,BRIDGE,61
GREAT BRITAIN,GERMANY,WANNE EICKEL,51.52,7.17,1/9/1941,MARSHALLING YARD,63
GREAT BRITAIN,GERMANY,OLDENBURG,53.95,13.56,1/29/1941,A A BATTERY,82
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ARNHEM,51.98,5.92,8/31/1940,AERODROME,78
GREAT BRITAIN,GERMANY,HERRENWYK,,,7/16/1942,SUB FLTDK BLD LBKR FL,72
GREAT BRITAIN,GERMANY,WURZBURG,49.8,9.93,2/5/1945,CITY AREA,2
GREAT BRITAIN,GERMANY,KASSEL,51.32,9.47,7/23/1940,FLAK BATTERY,82
GREAT BRITAIN,GERMANY,COBLENZ,50.35,7.6,12/7/1940,CITY AREA,2
USA,ITALY,DRA,46.35,11.3,11/7/1944,RR BRIDGE,61
GREAT BRITAIN,FRANCE,DREAUX,48.73,1.38,6/10/1944,MY,63
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,9/30/1940,THERMAL POWER STATION,3
GREAT BRITAIN,FRANCE,CHERBOURG,49.63,-1.62,2/3/1941,DOCKS BARGES SHIPPING,71
GREAT BRITAIN,BELGIUM,OSTENDE,51.22,2.95,9/2/1941,DOCKS,71
GREAT BRITAIN,GERMANY,HILDESHEIM,52.15,9.97,8/31/1940,MARSHALLING YARD,63
GREAT BRITAIN,GERMANY,GRONINGEN,48.73,9.75,2/19/1944,CITY AREA,2
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,11/28/1940,CITY AREA,2
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,11/30/1944,CITY AREA,2
USA,ITALY,GROSSETO,42.77,11.13,1/8/1944,MARSHALLING YARDS,63
GREAT BRITAIN,GERMANY,HANNOVER,52.38,9.73,9/25/1940,CITY AREA,2
GREAT BRITAIN,BELGIUM,ANTWERP,51.22,4.42,10/25/1940,AIRDROME,78
GREAT BRITAIN,GERMANY,STUTTGART,48.78,9.18,7/25/1944,CITY AREA,2
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DORDRECHT,51.8,4.65,10/4/1940,DOCKS CANALS BARGES,74
USA,ITALY,SALERNO,40.67,14.73,9/22/1943,GUN POSITIONS,82
GREAT BRITAIN,GERMANY,DUISBERG,51.43,6.75,12/16/1943,INDUSTRIAL TARGETS,9
GREAT BRITAIN,FRANCE,CALAIS,50.97,1.87,2/4/1941,DOCKS BARGES SHIPPING,71
GREAT BRITAIN,GERMANY,KARLSRUHE,49.02,8.38,9/5/1940,AIRDROME,78
GREAT BRITAIN,GERMANY,ROSTOCK,54.08,12.13,4/23/1942,CITY AREA,2
GREAT BRITAIN,GERMANY,LEIPZIG,51.33,12.38,8/26/1940,CITY AREA,2
USA,ITALY,44 40 N 010 20 E,44.67,10.33,4/20/1945,MOTOR TRANSPORT,65
GREAT BRITAIN,HOLLAND OR NETHERLANDS,FLUSHING,51.4,3.53,11/7/1940,EARTHWORKS,80
GREAT BRITAIN,GERMANY,GOCH,51.67,6.15,10/28/1940,AIRDROME,78
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ROTTERDAM,51.92,4.47,8/29/1940,AERODROME,78
USA,ITALY,GESENA,,,6/29/1944,RR CARS,64
USA,ITALY,FICULLE,42.83,12.07,4/28/1944,R R BRIDGE,61
GREAT BRITAIN,GERMANY,UNKNOWN,47.33,14.5,7/25/1940,MFG,9
USA,ITALY,45 40 N 010 40 E,45.67,10.67,4/24/1945,BRIDGE,61
GREAT BRITAIN,HOLLAND OR NETHERLANDS,VENLOO,51.37,6.15,12/4/1940,ANTI AIRCRAFT BATTERY,82
GREAT BRITAIN,GERMANY,LEIPZIG,51.33,12.38,12/23/1943,CITY AREA,2
GREAT BRITAIN,GERMANY,BREMERHAVEN,53.55,8.58,11/5/1940,DESCHIMAG SUB YD SEEBA,72
GREAT BRITAIN,GERMANY,OLDENBURG,53.95,13.56,2/26/1945,CITY AREA,2
GREAT BRITAIN,GERMANY,NURNBERG,49.45,11.08,3/8/1943,CITY AREA,2
GREAT BRITAIN,GERMANY,DORTMUND,51.52,7.45,11/22/1940,CITY AREA,2
GREAT BRITAIN,GERMANY,EMMERICH,15.82,6.25,10/24/1940,INLAND PORT,71
USA,ITALY,MESTRO,45.48,12.25,4/20/1944,MARSHALLING YARDS,63
USA,ITALY,PONTE DI PIAVE,45.8,12.45,9/23/1944,RR BRIDGE,61
GREAT BRITAIN,GERMANY,ZWEIBRUCKEN,49.25,7.37,10/22/1941,AIRDROME,78
GREAT BRITAIN,GERMANY,SCHLEISSHEIM,48.23,11.55,4/18/1945,AIRDROME,78
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,12/9/1940,A C FACTORY,11
USA,GERMANY,KIEL,54.33,10.15,5/19/1943,NAVAL INSTALLATIONS,70
USA,GERMANY,BINGEN,49.97,7.9,9/29/1944,MARSHALLING YARD,63
GREAT BRITAIN,FRANCE,TOULOUSE,43.6,1.43,4/5/1944,AIRCRAFT ASSEMBLY PLAN,11
GREAT BRITAIN,HOLLAND OR NETHERLANDS,EINDHOVEN,51.43,5.47,11/27/1941,AIRDROME,78
USA,GERMANY,SCHNEIDEMUHL,53.15,16.73,5/29/1944,AIRDROME,78
USA,GERMANY,BARTH,54.37,12.72,5/13/1944,AIRDROME,78
GREAT BRITAIN,GERMANY,BRUHL,50.82,6.73,11/27/1940,WAREHOUSES,83
GREAT BRITAIN,GERMANY,BREMEN,53.08,8.72,3/17/1941,A C FACTORY,11
GREAT BRITAIN,GERMANY,STUTTGART,48.78,9.18,10/14/1941,CITY AREA,2
USA,YUGOSLAVIA,SMEDEREVO,44.65,20.95,9/3/1944,FERRY SLIPS,71
USA,AUSTRIA,MOOSBIERBAUM,48.32,15.92,1/31/1945,SYN OIL REFINERY,50
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DEN HELDER,52.97,4.77,9/29/1940,DE KOOY AIRDROME,78
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,11/27/1940,INLAND PORT,71
USA,ITALY,CASTEL FRENTANO,42.2,14.35,11/27/1943,RR,63
GREAT BRITAIN,GERMANY,TRIER,49.77,6.65,5/9/1941,CITY AREA,2
USA,FRANCE,44 40 N 006 20 E,44.67,6.33,4/23/1945,RAILROAD,63
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ROTTERDAM,51.92,4.47,4/17/1941,OIL STORAGE,53
USA,ITALY,MONTE OGGIOLI,44.17,11.32,9/14/1944,GUN POSITIONS,82
GREAT BRITAIN,BELGIUM,ANTWERP,51.22,4.42,10/15/1940,DOCKS BARGES SHIPPING,71
USA,GERMANY,ANNABERG,50.6,13.02,4/20/1945,FUEL DEPOT,83
USA,ITALY,43 20 N 011 00 E,43.33,11,7/14/1944,TACTICAL,80
USA,YUGOSLAVIA,BROD,45.15,18.02,8/30/1944,R R,63
GREAT BRITAIN,GERMANY,HANNOVER,52.38,9.73,8/13/1940,CITY AREA,2
USA,FRANCE,LA FRILLIERE,47.39,0.82,6/8/1944,BRIDGE,61
USA,ITALY,44 20 N 011 00 E,44.33,11,10/4/1944,OCCUPIED BUILDING,80
USA,HUNGARY,BUDAPEST,47.5,19.03,9/17/1944,MARSHALLING YARDS,63
GREAT BRITAIN,GERMANY,BOCHUM,51.52,7.2,11/29/1943,FACTORY,9
GREAT BRITAIN,GERMANY,DUREN,50.8,6.48,7/23/1944,INDUSTRIAL AREA,9
GREAT BRITAIN,GERMANY,HANNOVER,52.38,9.73,4/11/1944,CITY AREA,2
USA,CZECHOSLOVAKIA,BRATISLAVA,48.15,17.12,9/20/1944,MALACKY AD,78
GREAT BRITAIN,GERMANY,BONN,50.73,7.07,6/1/1942,HANGELAR A D,78
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,3/3/1942,CITY AREA,2
USA,ITALY,ALBINEA,44.62,10.58,5/4/1944,R R BRIDGE,61
USA,ITALY,45 00 N 010 40 E,45,10.67,4/19/1945,MOTOR TRANSPORT,65
USA,ITALY,CAMPO,46.13,9.68,3/14/1945,RR BRIDGE,61
USA,ITALY,45 40 N 012 40 E,45.67,12.67,10/23/1944,BRIDGE,61
GREAT BRITAIN,GERMANY,BORKUM,53.6,6.67,6/8/1941,FLAK BATTERY,82
USA,GERMANY,HAMELN,52.1,9.37,10/7/1944,CITY AREA,2
GREAT BRITAIN,BELGIUM,OSTENDE,51.22,2.95,9/18/1940,DOCKS,71
USA,ITALY,POLA,44.87,13.85,2/19/1945,NAVY YARDS,70
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,4/8/1942,CITY AREA,2
USA,ROMANIA,TARGOVISTE,44.93,25.48,7/31/1944,OIL STORAGE,53
USA,ITALY,PESARO,43.92,12.92,6/4/1944,RR BRIDGE,61
GREAT BRITAIN,GERMANY,HELDRUNGEN,51.3,11.22,8/18/1940,UNIDENTIFIED FACTORY,9
USA,FRANCE,EVRON,48.15,-0.4,8/2/1944,MARSHALLING YARD,63
USA,ITALY,MESSINA STRAITS,38,15.58,8/13/1943,SHIPS,73
GREAT BRITAIN,GERMANY,DORTMUND,51.52,7.45,10/16/1943,CITY AREA,2
GREAT BRITAIN,FRANCE,LE TROUQUET,50.53,1.6,6/11/1941,AIRDROME,78
GREAT BRITAIN,GERMANY,MANNHEIM,49.48,8.47,5/15/1944,CITY AREA,2
GREAT BRITAIN,FRANCE,NEVERS,47,3.15,7/15/1944,MARSHALLING YARD,63
GREAT BRITAIN,GERMANY,HALLE,52.07,8.37,2/24/1945,CITY AREA,2
USA,ITALY,45 00 N 009 40 E,45,9.67,4/22/1945,TROOPS,81
GREAT BRITAIN,GERMANY,DUISBURG,51.43,6.75,8/28/1941,CITY AREA,2
GREAT BRITAIN,GERMANY,JEVER,53.6,7.9,4/24/1941,AIRDROME,78
USA,GERMANY,48 00 N 012 20 E,48,12.33,11/22/1944,MANU INSTALLATION,9
USA,GERMANY,BURGFARRNBACH,49.5,10.9,2/25/1944,R R JUNC,63
USA,AUSTRIA,BAD VOSLAU,47.95,16.18,4/12/1944,AIRCRAFT FACTORIES,11
GREAT BRITAIN,GERMANY,COBLENZ,50.35,7.6,10/12/1944,CITY AREA,2
GREAT BRITAIN,BELGIUM,ST TROND,50.8,5.2,8/12/1942,AIRDROME,78
USA,ITALY,TREBISACCE,39.88,16.55,9/8/1943,R R,63
GREAT BRITAIN,GERMANY,MAGDEBURG,52.13,11.63,8/30/1940,MARSHALLING YARD,63
GREAT BRITAIN,GERMANY,FRANKFURT AM MAIN,50.1,8.67,8/26/1940,OIL TANKS,53
GREAT BRITAIN,HOLLAND OR NETHERLANDS,LEEUWARDEN,53.22,5.8,3/24/1944,CITY AREA,2
GREAT BRITAIN,FRANCE,HARDELOT,50.63,1.58,8/29/1941,CITY AREA,2
GREAT BRITAIN,FRANCE,ARRAS,50.28,2.77,7/7/1941,BLAST FURNACES,39
USA,GERMANY,FURTH,48.92,12.67,2/25/1944,A C COMPONENTS,15
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ROTTERDAM,51.92,4.47,3/18/1941,OIL STORAGE,53
GREAT BRITAIN,GERMANY,BREMERHAVEN,53.55,8.58,7/26/1942,CITY AREA,2
GREAT BRITAIN,BELGIUM,OSTENDE,51.22,2.95,12/27/1941,DOCKS,71
USA,ITALY,DOLCE,45.62,10.87,4/23/1945,RAILROAD,63
USA,GERMANY,OPPELN,50.68,17.92,12/2/1944,MARSHALLING YARDS,63
GREAT BRITAIN,HOLLAND OR NETHERLANDS,HAAMSTEDE,51.7,3.73,4/29/1941,AIRDROME,78
GREAT BRITAIN,GERMANY,PLAUEN,50.48,12.13,4/9/1945,CITY AREA,2
USA,ITALY,FOGGIA,41.45,15.55,7/9/1943,AIRDROME,78
USA,YUGOSLAVIA,BROD,45.15,18.02,4/13/1944,R R,63
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,3/10/1945,CITY AREA,2
USA,HOLLAND OR NETHERLANDS,UNKNOWN,,,8/3/1944,ROAD,65
USA,ITALY,BRESSANA BOTTARONE,45.07,9.13,4/25/1945,ROADS,65
USA,GERMANY,NEUBRANDENBURG,53.55,13.28,8/6/1944,A C ASSEMBLY,11
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,11/24/1940,OIL REFINERY,51
GREAT BRITAIN,GERMANY,MELDORF,54.12,9.08,5/6/1941,CITY AREA,2
USA,HUNGARY,KOMAROM,47.73,18.25,3/8/1945,MARSHALLING YARDS,63
USA,ITALY,FERRARA,44.85,11.63,5/12/1944,MARSHALLING YARDS,63
USA,ITALY,MILAZZO,38.2,15.25,8/1/1943,HARBOR,71
USA,GERMANY,BREMEN,53.08,8.72,9/29/1944,K F BORGWARD A G,22
GREAT BRITAIN,GERMANY,SALZWEDEL,52.85,11.15,8/12/1941,AIRDROME,78
USA,FRANCE,LES BUISSONS,49.87,1.62,8/13/1944,FUEL STORAGE,83
GREAT BRITAIN,FRANCE,ST NAZAIRE,47.28,-2.2,3/7/1942,HARBOR INSTALLATION,71
GREAT BRITAIN,GERMANY,TONNING,54.32,8.98,2/28/1941,AA BTRY,82
